Species,intro_loc
Elymus repens,"Alaska, Alberta, AntipodeanIs., ArgentinaNortheast, ArgentinaSouth, Arizona, Arkansas, Azores, BritishColumbia, California, California, Cameroon, CanaryIs., CapeProvinces, CarolineIs., ChathamIs., ChileCentral, ChileSouth, Colorado, Connecticut, CrozetIs., Delaware, DistrictofColumbia, FalklandIs., Greenland, Idaho, Illinois, Indiana, Iowa, Japan, Kansas, Kentucky, Kerguelen, Labrador, Madeira, Maine, Manitoba, Marion-PrinceEdward, Maryland, Massachusetts, MexicoCentral, MexicoNortheast, MexicoNorthwest, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, NewBrunswick, NewHampshire, NewJersey, NewMexico, NewSouthWales, NewYork, NewZealandNorth, NewZealandSouth, Newfoundland, NorthCarolina, NorthDakota, NorthwestTerritorie, NovaScotia, Nunavut, Ohio, Oklahoma, Ontario, Oregon, Pennsylvania, Peru, PrinceEdwardI., Québec, RhodeI., Saskatchewan, SouthAustralia, SouthDakota, SouthGeorgia, Tasmania, Tennessee, Texas, Utah, Vermont, Victoria, Virginia, Washington, WestVirginia, WesternAustralia, Wisconsin, Wyoming, Yukon, Yukon"
Impatiens glandulifera,"Altay, ArgentinaSouth, Assam, Austria, BalticStates, Bangladesh, Belgium, BritishColumbia, Bulgaria, California, CentralEuropeanRus, Connecticut, Czechoslovakia, Denmark, Ethiopia, Finland, France, Germany, GreatBritain, Hungary, Idaho, Ireland, Irkutsk, Italy, Krasnoyarsk, Krym, Maine, Manitoba, Massachusetts, Michigan, Montana, Netherlands, NewBrunswick, NewYork, NewZealandNorth, NewZealandSouth, Newfoundland, NorthCaucasus, Norway, NovaScotia, Ontario, Oregon, Poland, Primorye, PrinceEdwardI., Québec, Romania, Sakhalin, Spain, Sweden, Switzerland, Tasmania, Ukraine, Vermont, Washington, WestSiberia, Yugoslavia"
Poa trivialis,"Alabama, Alaska, AleutianIs., Amsterdam-St.PaulIs, AntipodeanIs., ArgentinaNortheast, ArgentinaNorthwest, ArgentinaSouth, BritishColumbia, California, ChathamIs., ChileCentral, ChileSouth, Colombia, Colorado, Connecticut, CostaRica, CrozetIs., Delaware, DistrictofColumbia, Ecuador, Georgia, Greenland, Illinois, Indiana, Iowa, Japan, Jawa, Kansas, Kentucky, Kerguelen, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Montana, Nebraska, Nevada, NewBrunswick, NewHampshire, NewJersey, NewMexico, NewSouthWales, NewYork, NewZealandNorth, NewZealandSouth, Newfoundland, NorthCarolina, NorthernProvinces, NovaScotia, Ohio, Ontario, Oregon, Pennsylvania, Peru, PrinceEdwardI., Québec, RhodeI., Saskatchewan, SouthAustralia, SouthDakota, SouthGeorgia, St.Helena, Taiwan, Tasmania, Tennessee, Texas, TristandaCunha, Utah, Vermont, Victoria, Virginia, Washington, WestVirginia, Wisconsin, Wyoming, Yukon"
Acer pseudoplatanus,"Algeria, ArgentinaSouth, Belgium, CanaryIs., Denmark, GreatBritain, Illinois, Ireland, Kazakhstan, Madeira, Myanmar, Netherlands, NewYork, NewZealandNorth, NewZealandSouth, Sweden, Uzbekistan, Virginia"
Papaver dubium,"Alabama, ArgentinaNortheast, ArgentinaNorthwest, Arkansas, Bermuda, CentralEuropeanRus, ChileSouth, Connecticut, Delaware, DistrictofColumbia, FalklandIs., Greenland, Illinois, India, Kansas, Kentucky, Maryland, Massachusetts, Missouri, NewBrunswick, NewJersey, NewSouthWales, NewYork, NorthCarolina, Ohio, Oklahoma, Ontario, Oregon, Pennsylvania, Queensland, Québec, RhodeI., SouthAustralia, SouthCarolina, Tasmania, Tennessee, Uruguay, Virginia, WestVirginia"
Draba verna,"Alabama, Alberta, ArgentinaNortheast, ArgentinaNorthwest, ArgentinaSouth, Arkansas, BritishColumbia, California, ChileCentral, ChileSouth, Connecticut, Delaware, DistrictofColumbia, Georgia, Idaho, Illinois, Indiana, Iowa, Japan, Kentucky, Maine, Maryland, Massachusetts, Michigan, Mississippi, Missouri, Montana, Nevada, NewBrunswick, NewHampshire, NewJersey, NewSouthWales, NewYork, NewZealandSouth, NorthCarolina, Ohio, Ontario, Oregon, Pennsylvania, Québec, RhodeI., SouthAustralia, SouthCarolina, Tasmania, Tennessee, Utah, Vermont, Victoria, Virginia, Washington, WestVirginia, Wyoming"
Pilosella officinarum,"BritishColumbia, Connecticut, Delaware, Georgia, Kentucky, Labrador, Maine, Maryland, Massachusetts, Michigan, Minnesota, NewBrunswick, NewHampshire, NewJersey, NewYork, Newfoundland, NorthCarolina, NovaScotia, Ohio, Ontario, Oregon, Pennsylvania, Québec, RhodeI., Tennessee, Vermont, Virginia, Washington, WestVirginia"
Helminthotheca echioides,"Alberta, Arizona, Austria, Belgium, California, CapeProvinces, ChathamIs., Connecticut, Denmark, DistrictofColumbia, Ethiopia, FreeState, Germany, GreatBritain, Hungary, Iowa, Ireland, KwaZulu-Natal, Maine, Maryland, Massachusetts, Missouri, Montana, Netherlands, NewBrunswick, NewJersey, NewSouthWales, NewYork, NewZealandNorth, NorthDakota, NorthernProvinces, Norway, Ohio, Ontario, Oregon, Pennsylvania, Poland, Queensland, Romania, Saskatchewan, SouthAustralia, Switzerland, Tasmania, Uruguay, Vermont, Victoria, Virginia, WesternAustralia, Zimbabwe"
Frangula alnus,"CanaryIs., Colorado, Connecticut, Idaho, Illinois, Indiana, Iowa, Kentucky, Maine, Manitoba, Massachusetts, Michigan, Minnesota, Nebraska, NewBrunswick, NewHampshire, NewJersey, NewYork, NovaScotia, Ohio, Ontario, Pennsylvania, Québec, RhodeI., Saskatchewan, Tennessee, Uzbekistan, Vermont, WestVirginia, Wisconsin, Wyoming"
Spergularia rubra,"Alaska, Altay, BritishColumbia, California, CapeProvinces, ChileCentral, Colorado, Connecticut, Delaware, DistrictofColumbia, Idaho, Illinois, Indiana, Kentucky, Kirgizstan, Korea, Maine, Maryland, Massachusetts, Michigan, Minnesota, Montana, Nevada, NewBrunswick, NewHampshire, NewJersey, NewMexico, NewYork, NewZealandNorth, Newfoundland, NovaScotia, Ohio, Ontario, Oregon, Pennsylvania, Portugal, PrinceEdwardI., Québec, RhodeI., Utah, Uzbekistan, Vermont, Virginia, Washington, Wisconsin, Wyoming, Yukon"
Eucalyptus globulus,"Albania, Azores, Baleares, Bangladesh, Bolivia, California, Cambodia, CanaryIs., ChinaSouth-Central, ChinaSoutheast, CostaRica, EastAegeanIs., EasterIs., Ecuador, ElSalvador, Eritrea, Ethiopia, France, FreeState, GreatBritain, Guatemala, India, Ireland, Italy, JuanFernándezIs., Kenya, LeewardIs., LesserSundaIs., Madeira, MexicoSoutheast, MexicoSouthwest, Morocco, NewZealandNorth, NewZealandSouth, Pakistan, Panamá, Paraguay, Peru, Portugal, Rwanda, Sardegna, Sicilia, Spain, Spain, St.Helena, Tanzania, Transcaucasus, Uganda, WindwardIs., Zimbabwe"
Juncus articulatus,"AntipodeanIs., ChathamIs., NewSouthWales, NewZealandNorth, NewZealandSouth, NorfolkIs., Peru, SouthAustralia, TristandaCunha, Victoria, WesternAustralia"
Salix cinerea,"Alabama, Connecticut, DistrictofColumbia, Georgia, Illinois, Iowa, Kentucky, Louisiana, Maryland, Massachusetts, Michigan, Missouri, NewJersey, NewSouthWales, NewYork, NewZealandNorth, NorthCarolina, Ohio, Ontario, Pennsylvania, RhodeI., SouthAustralia, SouthCarolina, SouthDakota, Tasmania, Tennessee, Utah, Victoria, Virginia, WestVirginia, Wisconsin"
Alopecurus pratensis,"Alabama, Alaska, Alberta, Amur, ArgentinaNortheast, ArgentinaSouth, Bermuda, BritishColumbia, California, ChileSouth, Colombia, Colorado, Connecticut, Delaware, DistrictofColumbia, EastHimalaya, Føroyar, Georgia, Greenland, Iceland, Idaho, Illinois, Indiana, Iowa, Japan, Kamchatka, Kansas, Kentucky, Kerguelen, Khabarovsk, Korea, Labrador, Magadan, Maine, Manitoba, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Montana, Nebraska, Nevada, NewBrunswick, NewHampshire, NewJersey, NewMexico, NewSouthWales, NewYork, NewZealandNorth, NewZealandSouth, Newfoundland, NorthDakota, NorthwestTerritorie, NovaScotia, Ohio, Ontario, Oregon, Pennsylvania, Primorye, PrinceEdwardI., Québec, RhodeI., Sakhalin, Saskatchewan, SouthAustralia, SouthDakota, Taiwan, Tasmania, Tennessee, Utah, Vermont, Victoria, Virginia, Washington, WestVirginia, WesternAustralia, Wisconsin, Wyoming, Yukon, Yukon"
Lupinus polyphyllus,"Altay, ArgentinaSouth, Austria, BalticStates, Bangladesh, Belarus, Belgium, Bulgaria, CentralEuropeanRus, ChileSouth, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Germany, Hungary, Illinois, Kazakhstan, Kirgizstan, Krasnoyarsk, Mongolia, Netherlands, NewSouthWales, NewZealandNorth, NewZealandSouth, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Pakistan, Poland, Romania, SouthAustralia, SouthEuropeanRussi, Sweden, Switzerland, Transcaucasus, Ukraine, Victoria, WestSiberia, Yugoslavia"
Silene vulgaris,"Alaska, Alberta, ArgentinaNortheast, ArgentinaSouth, Arizona, Arkansas, BritishColumbia, California, CapeProvinces, ChileCentral, ChileSouth, Colorado, Connecticut, Delaware, DistrictofColumbia, Eritrea, Georgia, Haiti, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Manitoba, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Montana, Nebraska, NewBrunswick, NewHampshire, NewJersey, NewMexico, NewYork, Newfoundland, NorthCarolina, NorthDakota, NovaScotia, Ohio, Ontario, Oregon, Pennsylvania, PrinceEdwardI., Québec, RhodeI., Saskatchewan, SouthCarolina, SouthDakota, Tennessee, Venezuela, Vermont, Virginia, Washington, WestVirginia, Wisconsin, Wyoming, Yukon"
Rhamnus cathartica,"Alberta, ArgentinaNortheast, Arizona, Colorado, Connecticut, Delaware, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Manitoba, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Montana, Nebraska, NewBrunswick, NewHampshire, NewJersey, NewYork, NorthCarolina, NorthDakota, NovaScotia, Ohio, Ontario, Pennsylvania, PrinceEdwardI., Québec, RhodeI., Saskatchewan, SouthDakota, Tennessee, Utah, Vermont, Virginia, Washington, WestVirginia, Wisconsin, Wyoming"
Achillea ptarmica,"Alaska, Alberta, Connecticut, Greenland, Iceland, Idaho, Indiana, Jawa, Labrador, Maine, Manitoba, Massachusetts, Michigan, Minnesota, Montana, NewBrunswick, NewHampshire, NewJersey, NewYork, Newfoundland, NovaScotia, Ohio, Ontario, Pennsylvania, PrinceEdwardI., Québec, RhodeI., SouthGeorgia, Vermont, Washington, WestVirginia, Wisconsin"
Myosotis arvensis,"Alberta, ArgentinaNorthwest, ArgentinaSouth, BritishColumbia, CapeProvinces, Colorado, Connecticut, DistrictofColumbia, DominicanRepublic, FalklandIs., Greenland, Haiti, Idaho, Indiana, Kamchatka, Magadan, Maine, Manitoba, Maryland, Massachusetts, Michigan, Minnesota, Montana, NewBrunswick, NewHampshire, NewJersey, NewYork, Newfoundland, NorthCarolina, NovaScotia, Ohio, Ontario, Oregon, Pennsylvania, PrinceEdwardI., Québec, RhodeI., Saskatchewan, SouthCarolina, Taiwan, Vermont, Virginia, Washington, WestVirginia, Wisconsin, Wyoming"
Rumex acetosa,"Alaska, Alberta, AleutianIs., ArgentinaNortheast, ArgentinaSouth, BritishColumbia, Chad, ChileSouth, Connecticut, Haiti, Maine, Manitoba, Massachusetts, Michigan, Minnesota, NewBrunswick, NewHampshire, NewYork, Newfoundland, NovaScotia, Ontario, Oregon, Pennsylvania, Québec, Saskatchewan, Svalbard, Vermont"
Glyceria maxima,"Alaska, BritishColumbia, ChathamIs., Massachusetts, NewSouthWales, NewZealandNorth, NewZealandSouth, Newfoundland, Ontario, Queensland, Québec, Tasmania, Victoria, WesternAustralia, Wisconsin"
Carduus crispus,"BritishColumbia, India, Minnesota, NewBrunswick, NewJersey, NewYork, NovaScotia, Ontario, Pakistan, Pennsylvania, Québec, WestHimalaya"
Fragaria vesca,"ArgentinaNorthwest, Baleares, Bolivia, BrazilSouth, CanaryIs., CapeProvinces, Ecuador, IvoryCoast, Japan, Jawa, Kenya, Malaya, Manchuria, Mauritius, NewGuinea, NewZealandNorth, NewZealandSouth, Newfoundland, NorthernProvinces, Philippines, Rwanda, Réunion, Sumatera, Tanzania, Tennessee, Trinidad-Tobago, Tunisia"
Rumex conglomeratus,"Alabama, ArgentinaNortheast, ArgentinaNorthwest, ArgentinaSouth, Arizona, Arkansas, Azores, Bolivia, BritishColumbia, California, ChileCentral, ChileNorth, ChileSouth, Colombia, CrozetIs., Ecuador, Finland, Georgia, Guatemala, Haiti, Illinois, Indiana, JuanFernándezIs., Kentucky, Kerguelen, Korea, Louisiana, Massachusetts, MexicoNorthwest, Mississippi, Missouri, NewYork, NewZealandNorth, NorfolkIs., NorthCarolina, Norway, Oklahoma, Oman, Oregon, Pennsylvania, Peru, SouthCarolina, Tennessee, Texas, Uruguay, Venezuela, Virginia, Washington, WestVirginia"
Bromus sterilis,"Alabama, ArgentinaNortheast, ArgentinaSouth, Arizona, Arkansas, BalticStates, BritishColumbia, California, ChathamIs., ChileCentral, ChileSouth, ChinaSouth-Central, ChinaSoutheast, Colorado, Connecticut, Delaware, DistrictofColumbia, DominicanRepublic, FalklandIs., Finland, Haiti, Hawaii, Idaho, Illinois, Indiana, Jamaica, Japan, Kentucky, Korea, Madeira, Maryland, Massachusetts, Michigan, Mississippi, Missouri, Nevada, NewJersey, NewMexico, NewSouthWales, NewYork, NewZealandNorth, NewZealandSouth, NorthCarolina, Ohio, Oklahoma, Ontario, Oregon, Pennsylvania, Primorye, RhodeI., Tasmania, Tennessee, Texas, Utah, Victoria, Virginia, Washington, WestVirginia"
Elodea nuttallii,"Austria, Belgium, Bulgaria, ChinaSouth-Central, Czechoslovakia, Denmark, Finland, France, Germany, GreatBritain, Hungary, Iceland, Italy, Japan, Netherlands, Norway, Philippines, Poland, Romania, Sweden, Switzerland, Yugoslavia"
Poa nemoralis,"ArgentinaSouth, ChileCentral, ChileSouth, Greenland, GulfofGuineaIs., Kerguelen, NewZealandNorth, NewZealandSouth, Uruguay"
Filipendula vulgaris,"NewYork, NewZealandNorth, NewZealandSouth, Primorye, Vermont"
Sambucus nigra ssp. nigra,"Algeria, ArgentinaSouth, Bangladesh, BrazilNorth, BrazilNortheast, BrazilSouth, BrazilSoutheast, BrazilWest-Central, ChileCentral, ChileSouth, Connecticut, Cyprus, EastAegeanIs., FalklandIs., Finland, Kriti, Madeira, MexicoCentral, Morocco, NewSouthWales, Norway, Ontario, Pakistan, Pennsylvania, Queensland, SouthAustralia, Sweden, Tasmania, Tunisia, Uzbekistan, Victoria, Virginia"
Bistorta officinalis,"Denmark, Finland, Iceland, Ireland, Maine, Massachusetts, Newfoundland, Norway, NovaScotia, Sweden, Vermont"
Sanguisorba officinalis,"Finland, Peru"
Matricaria discoidea,"Altay, Amur, Austria, Azores, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, ChathamIs., Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Føroyar, Germany, GreatBritain, Greece, Guatemala, Hungary, Iceland, Ireland, Irkutsk, Italy, Japan, Kamchatka, Kazakhstan, Khabarovsk, Kirgizstan, Korea, Krasnoyarsk, Krym, KurilIs., Labrador, LeewardIs., Magadan, Manchuria, MexicoSoutheast, Morocco, Netherlands, NewSouthWales, Newfoundland, NorthCaucasus, NorthwestEuropeanR, Norway, Poland, Portugal, Primorye, Romania, Sakhalin, SouthAustralia, SouthGeorgia, Spain, Sweden, Switzerland, Tadzhikistan, Tasmania, Transcaucasus, Turkey, Tuva, Ukraine, Uzbekistan, Victoria, WestSiberia, WesternAustralia, Yakutskiya, Yugoslavia"
Pulicaria dysenterica,NewYork
Senecio sylvaticus,"BritishColumbia, California, ChathamIs., Hawaii, Louisiana, Massachusetts, Michigan, NewBrunswick, NewJersey, Newfoundland, NovaScotia, Ohio, Oregon, Pennsylvania, PrinceEdwardI., Québec, Washington, Wisconsin"
Juncus inflexus,"Amsterdam-St.PaulIs, Finland, Jawa, Michigan, NewYork, NewZealandNorth, NewZealandSouth, Ontario, Pennsylvania, Québec, SriLanka, Uruguay, Victoria, Vietnam, Virginia"
Avena barbata,"ArgentinaNortheast, ArgentinaNorthwest, ArgentinaSouth, Arizona, Austria, Azores, Bolivia, BrazilSouth, California, CanaryIs., CapeProvinces, ChileCentral, ChileNorth, ChileSouth, Czechoslovakia, Germany, Hawaii, JuanFernándezIs., Krym, Madeira, Massachusetts, MexicanPacificIs., MexicoNorthwest, Montana, Nevada, NewMexico, NewSouthWales, NewZealandNorth, NorfolkIs., Oregon, Peru, SouthAustralia, SriLanka, Tasmania, Uruguay, Victoria, Washington, WesternAustralia"
Veronica chamaedrys,"Alaska, Alberta, ArgentinaNortheast, ArgentinaNorthwest, BritishColumbia, CapeProvinces, Connecticut, DistrictofColumbia, Idaho, Illinois, Indiana, Khabarovsk, KurilIs., Maine, Manchuria, Maryland, Massachusetts, Michigan, Missouri, Montana, NewBrunswick, NewHampshire, NewJersey, NewYork, Newfoundland, NorthCarolina, NovaScotia, Ohio, Ontario, Oregon, Pennsylvania, Primorye, PrinceEdwardI., Québec, RhodeI., Sakhalin, Vermont, Virginia, Washington, WestVirginia, Wisconsin"
Salix fragilis,"Afghanistan, Alaska, Albania, Alberta, Algeria, ArgentinaNortheast, ArgentinaNorthwest, ArgentinaSouth, Arizona, Arkansas, Austria, Azores, Baleares, BalticStates, Belarus, Belgium, BritishColumbia, Bulgaria, California, CanaryIs., CapeProvinces, CentralEuropeanRus, Colorado, Connecticut, Corse, Cyprus, Czechoslovakia, Delaware, Denmark, DistrictofColumbia, EastAegeanIs., EastEuropeanRussia, Egypt, Finland, France, FreeState, Georgia, Germany, GreatBritain, Greece, Hungary, Idaho, Illinois, India, InnerMongolia, Iowa, Iran, Ireland, Italy, Japan, Kazakhstan, Kentucky, Kirgizstan, Korea, Krym, KwaZulu-Natal, Lesotho, Maine, Manchuria, Manitoba, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Mongolia, Nebraska, Nepal, Netherlands, Nevada, NewBrunswick, NewHampshire, NewJersey, NewMexico, NewSouthWales, NewYork, NewZealandNorth, NewZealandSouth, Newfoundland, NorthCaucasus, NorthEuropeanRussi, NorthernTerritory, NorthwestEuropeanR, Norway, NovaScotia, Ohio, Ontario, Oregon, Pakistan, Pennsylvania, Poland, Portugal, Primorye, PrinceEdwardI., Queensland, Québec, RhodeI., Romania, Sardegna, Saskatchewan, Sicilia, SouthAustralia, SouthDakota, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Tasmania, Tennessee, Transcaucasus, Turkey-in-Europe, Turkmenistan, Ukraine, Uruguay, Utah, Uzbekistan, Vermont, Victoria, Virginia, Washington, WestVirginia, WesternAustralia, Wisconsin, Wyoming, Yugoslavia"
Malva moschata,"ArgentinaSouth, BalticStates, BritishColumbia, ChileSouth, Connecticut, Delaware, Denmark, DistrictofColumbia, Finland, Hungary, Idaho, Illinois, Indiana, Ireland, Japan, Kentucky, Khabarovsk, KurilIs., Maine, Manitoba, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Montana, NewBrunswick, NewHampshire, NewJersey, NewYork, Newfoundland, NorthCarolina, Norway, NovaScotia, Ohio, Ontario, Oregon, Pennsylvania, PrinceEdwardI., Québec, RhodeI., Sakhalin, Sweden, Tennessee, Vermont, Virginia, Washington, WestSiberia, WestVirginia, Wisconsin, Wyoming"
Geum urbanum,"Idaho, Illinois, Massachusetts, Michigan, NewBrunswick, NewYork, NewZealandNorth, NewZealandSouth, Ohio, Ontario, Oregon, Pennsylvania, Primorye, Québec, RhodeI., Utah, Vermont, Washington, Wisconsin"
Luzula campestris,"Azores, FalklandIs., Kerguelen, Madeira, Massachusetts, NewSouthWales, NewZealandNorth, NewZealandSouth, Newfoundland, Tasmania, Victoria"
Potamogeton natans,NA
Thymus pulegioides,"Connecticut, Delaware, Maine, Manitoba, Maryland, Massachusetts, Michigan, NewBrunswick, NewHampshire, NewYork, NewZealandSouth, Ontario, Oregon, Pennsylvania, Primorye, Québec, Vermont, Virginia, Washington"
Torilis japonica,"BritishColumbia, California, DistrictofColumbia, Haiti, Illinois, Indiana, Iowa, Jawa, Kentucky, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, NewJersey, NewYork, NorthCarolina, Ohio, Oklahoma, Ontario, Oregon, Pennsylvania, Québec, Sumatera, Texas, Virginia, WestVirginia, Wisconsin"
Trifolium medium,"Buryatiya, ChinaNorth-Central, FreeState, Irkutsk, Japan, Kamchatka, Krasnoyarsk, Magadan, NewYork, NewZealandNorth, NewZealandSouth, NorthernProvinces, Primorye, Vermont"
Glyceria fluitans,"Arkansas, California, ChileCentral, ChileSouth, Colombia, Ecuador, Hawaii, Idaho, Irkutsk, Maryland, Massachusetts, MexicoCentral, MexicoNortheast, MexicoSouthwest, NewYork, NewZealandNorth, NewZealandSouth, Newfoundland, NovaScotia, Pennsylvania, Peru, SouthDakota, Tasmania, Tennessee, Tuva"
Holcus mollis,"Azores, BritishColumbia, California, ChathamIs., Colombia, CrozetIs., Delaware, Finland, Idaho, Kerguelen, Madeira, NewHampshire, NewSouthWales, NewYork, NewZealandSouth, Newfoundland, NorthCarolina, Oregon, Pennsylvania, SriLanka, Tasmania, Vermont, Victoria, Washington"
Vicia sepium,"FalklandIs., India, Irkutsk, Khabarovsk, Korea, Magadan, Mongolia, NewYork, Primorye, Sakhalin, Tuva, Vermont, WestVirginia, Yakutskiya"
Danthonia decumbens,"BritishColumbia, California, ChathamIs., CostaRica, NewZealandNorth, NewZealandSouth, Newfoundland, NovaScotia, Oregon, Réunion, St.Helena, Tasmania, Victoria, Washington"
Gnaphalium uliginosum,"Bangladesh, Kamchatka, KurilIs., Magadan, Sakhalin"
Carex nigra,SouthGeorgia
Potentilla verna,NA
Scrophularia auriculata,"CanaryIs., ChileCentral, NewYork"
Primula elatior,"Finland, Norway"
Pimpinella saxifraga,"Buryatiya, Connecticut, Delaware, Indiana, Kamchatka, Korea, Maine, Maryland, Massachusetts, Michigan, Minnesota, Montana, NewBrunswick, NewJersey, NewYork, Newfoundland, NovaScotia, Ohio, Ontario, Pennsylvania, Primorye, Québec, Vermont, Virginia, Washington, WestVirginia, Wisconsin"
Filipendula ulmaria,"Colorado, Illinois, Minnesota, NewYork, Québec, Vermont"
Carlina vulgaris,"NewJersey, NewYork"
Pinus halepensis,"ArgentinaNortheast, CanaryIs., CapeProvinces, FreeState, Lesotho, Madeira, NewZealandSouth, Portugal, SouthAustralia, Victoria"
Ehrharta stipoides,"EasterIs., Hawaii, KwaZulu-Natal, Madagascar, Réunion, SriLanka"
