Species,nat_loc
Ligustrum vulgare,"Albania, Austria, Belgium, Bulgaria, Czechoslovakia, Denmark, France, Germany, GreatBritain, Greece, Hungary, Iran, Ireland, Italy, Krym, Morocco, Netherlands, NorthCaucasus, Norway, Poland, Portugal, Romania, Spain, Sweden, Switzerland, Transcaucasus, Turkey, Turkey-in-Europe, Ukraine, Yugoslavia"
Cytisus scoparius,"Austria, BalticStates, Belarus, Belgium, CentralEuropeanRus, Corse, Czechoslovakia, Denmark, France, Germany, GreatBritain, Greece, Hungary, Ireland, Italy, Netherlands, NorthwestEuropeanR, Norway, Poland, Portugal, Romania, Sardegna, Sicilia, Spain, Sweden, Switzerland, Ukraine, Yugoslavia"
Phalaris arundinacea,"Afghanistan, Alabama, Alaska, Albania, Alberta, Altay, Amur, Arizona, Arkansas, Austria, BalticStates, Belarus, Belgium, BritishColumbia, Bulgaria, Buryatiya, California, CentralEuropeanRus, ChinaNorth-Central, ChinaSouth-Central, ChinaSoutheast, Chita, Colorado, Connecticut, Corse, Czechoslovakia, Delaware, Denmark, DistrictofColumbia, EastEuropeanRussia, EastHimalaya, Ethiopia, Finland, France, Føroyar, Germany, GreatBritain, Greece, Hungary, Illinois, Indiana, InnerMongolia, Iowa, Iran, Iraq, Ireland, Irkutsk, Italy, Japan, Kamchatka, Kansas, Kazakhstan, Kentucky, Kenya, Khabarovsk, Kirgizstan, Korea, Krasnoyarsk, Krym, KurilIs., Lebanon-Syria, Madagascar, Magadan, Maine, Manchuria, Manitoba, Maryland, Massachusetts, MexicoNortheast, MexicoNorthwest, Michigan, Minnesota, Missouri, Mongolia, Montana, Myanmar, Nebraska, Nepal, Netherlands, Nevada, NewBrunswick, NewHampshire, NewJersey, NewMexico, NewYork, Newfoundland, NorthCarolina, NorthCaucasus, NorthDakota, NorthEuropeanRussi, NorthwestEuropeanR, NorthwestTerritorie, Norway, NovaScotia, Ohio, Oklahoma, Ontario, Oregon, Pakistan, Pennsylvania, Poland, Portugal, Primorye, PrinceEdwardI., Qinghai, Québec, RhodeI., Romania, Rwanda, Sakhalin, Sardegna, Saskatchewan, SouthDakota, SouthEuropeanRussi, Spain, SriLanka, Sweden, Switzerland, Tadzhikistan, Taiwan, Tanzania, Tennessee, Transcaucasus, Turkey, Turkey-in-Europe, Tuva, Ukraine, Utah, Uzbekistan, Vermont, Vietnam, Virginia, Washington, WestHimalaya, WestSiberia, WestVirginia, Wisconsin, Wyoming, Xinjiang, Yakutskiya, Yugoslavia, Yukon"
Agrostis capillaris,"Afghanistan, Albania, Altay, Austria, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CentralEuropeanRus, ChinaNorth-Central, ChinaSoutheast, Corse, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Føroyar, Germany, GreatBritain, Greece, Hungary, Iceland, InnerMongolia, Iran, Ireland, Irkutsk, Italy, Kazakhstan, Krasnoyarsk, Krym, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Portugal, Romania, SouthEuropeanRussi, Spain, Sweden, Switzerland, Transcaucasus, Turkey, Ukraine, WestSiberia, Xinjiang, Yugoslavia"
Avena fatua,"Afghanistan, Albania, Algeria, Altay, Austria, Azores, Baleares, BalticStates, Bangladesh, Belarus, Belgium, Bulgaria, CanaryIs., CapeVerde, CentralEuropeanRus, ChinaNorth-Central, ChinaSouth-Central, ChinaSoutheast, Corse, Czechoslovakia, Denmark, EastEuropeanRussia, EastHimalaya, Egypt, Finland, France, Germany, GreatBritain, Greece, GulfStates, Hungary, India, InnerMongolia, Iran, Iraq, Ireland, Irkutsk, Italy, Kazakhstan, Kirgizstan, Krasnoyarsk, Krym, Kuwait, Lebanon-Syria, Libya, Madeira, Manchuria, Mongolia, Morocco, Nepal, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Oman, Pakistan, Palestine, Poland, Portugal, Qinghai, Romania, Sardegna, SaudiArabia, Sicilia, Sinai, SouthEuropeanRussi, Spain, SriLanka, Sweden, Switzerland, Tadzhikistan, Taiwan, Tibet, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Tuva, Ukraine, Uzbekistan, WestHimalaya, WestSiberia, Xinjiang, Yemen, Yugoslavia"
Persicaria hydropiper,"Afghanistan, Albania, Algeria, Altay, Amur, AndamanIs., Assam, Austria, Azores, BalticStates, Bangladesh, Belarus, Belgium, Bulgaria, Buryatiya, CentralEuropeanRus, ChinaSouth-Central, ChinaSoutheast, Chita, Corse, Czechoslovakia, Denmark, EastEuropeanRussia, EastHimalaya, Finland, France, Germany, GreatBritain, Greece, Hainan, Hungary, India, InnerMongolia, Iran, Ireland, Irkutsk, Italy, Japan, Jawa, Kazakhstan, Khabarovsk, Kirgizstan, Korea, Krasnoyarsk, Krym, KurilIs., Madeira, Malaya, Manchuria, Mongolia, Morocco, Myanmar, Nepal, Netherlands, NicobarIs., NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Ogasawara-shoto, Pakistan, Philippines, Poland, Portugal, Primorye, Qinghai, Romania, Sakhalin, Sardegna, Sicilia, SouthEuropeanRussi, Spain, SriLanka, Sumatera, Sweden, Switzerland, Tadzhikistan, Taiwan, Thailand, Tibet, Transcaucasus, Turkey, Turkey-in-Europe, Tuva, Ukraine, Uzbekistan, Vietnam, WestHimalaya, WestSiberia, Xinjiang, Yugoslavia"
Hypericum perforatum,"Afghanistan, Albania, Algeria, Altay, Austria, Azores, Baleares, BalticStates, Belarus, Belgium, Bulgaria, CanaryIs., CentralEuropeanRus, ChinaNorth-Central, ChinaSouth-Central, ChinaSoutheast, Corse, Cyprus, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, Iran, Iraq, Ireland, Italy, Kazakhstan, Kirgizstan, Krasnoyarsk, Kriti, Krym, Lebanon-Syria, Madeira, Morocco, Netherlands, NorthCaucasus, NorthwestEuropeanR, Norway, Pakistan, Palestine, Poland, Portugal, Qinghai, Romania, Sardegna, SaudiArabia, Sicilia, SouthEuropeanRussi, Spain, Sudan, Sweden, Switzerland, Tadzhikistan, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Ukraine, Uzbekistan, WestHimalaya, WestSiberia, Xinjiang, Yugoslavia"
Malva sylvestris,"Afghanistan, Albania, Algeria, Altay, Austria, Azores, Baleares, BalticStates, Belarus, Belgium, Bulgaria, CentralEuropeanRus, Corse, Cyprus, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, Egypt, Finland, France, Germany, GreatBritain, Greece, Hungary, Iran, Iraq, Ireland, Italy, Kazakhstan, Kirgizstan, Kriti, Krym, Lebanon-Syria, Libya, Madeira, Morocco, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Palestine, Poland, Portugal, Romania, Sardegna, Sicilia, Sinai, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Tibet, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Ukraine, Uzbekistan, WestHimalaya, Yugoslavia"
Mentha aquatica,"Albania, Algeria, Angola, Austria, Azores, Baleares, BalticStates, Belarus, Belgium, Botswana, Bulgaria, CapeProvinces, CentralEuropeanRus, Corse, Cyprus, Czechoslovakia, Denmark, Ethiopia, Finland, France, FreeState, Føroyar, Germany, GreatBritain, Greece, Hungary, Iran, Ireland, Italy, Kenya, Krasnoyarsk, Kriti, Krym, KwaZulu-Natal, Lebanon-Syria, Lesotho, Libya, Madeira, Malawi, Mongolia, Morocco, Netherlands, NorthCaucasus, NorthernProvinces, NorthwestEuropeanR, Norway, Palestine, Poland, Portugal, Romania, Rwanda, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Swaziland, Sweden, Switzerland, Tanzania, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Uganda, Ukraine, WestSiberia, Yugoslavia, Zambia"
Matricaria chamomilla,"Afghanistan, Albania, Algeria, Altay, Austria, Azores, Belarus, Belgium, Bulgaria, Buryatiya, CanaryIs., CentralEuropeanRus, ChinaNorth-Central, ChinaSouth-Central, ChinaSoutheast, Cyprus, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, Egypt, Finland, France, Germany, GreatBritain, Greece, Hungary, India, Iran, Iraq, Irkutsk, Italy, Kazakhstan, Kirgizstan, Korea, Krasnoyarsk, Kriti, Krym, Lebanon-Syria, Manchuria, Mongolia, Morocco, Myanmar, Netherlands, NorthCaucasus, NorthwestEuropeanR, Norway, Pakistan, Palestine, Portugal, Romania, Sardegna, Sicilia, Sinai, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Transcaucasus, Turkey, Turkey-in-Europe, Tuva, Ukraine, Uzbekistan, Vietnam, WestHimalaya, WestSiberia, Xinjiang, Yakutskiya, Yugoslavia"
Cirsium arvense,"Afghanistan, Albania, Algeria, Altay, Amur, Assam, Austria, Azores, Baleares, BalticStates, Bangladesh, Belarus, Belgium, Bulgaria, Buryatiya, CentralEuropeanRus, ChinaNorth-Central, ChinaSouth-Central, ChinaSoutheast, Corse, Cyprus, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Føroyar, Germany, GreatBritain, Greece, Hungary, India, InnerMongolia, Iran, Iraq, Ireland, Italy, Japan, Kamchatka, Kazakhstan, Khabarovsk, Kirgizstan, Korea, Krasnoyarsk, Krym, KurilIs., Lebanon-Syria, Magadan, Manchuria, Mongolia, Nepal, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Pakistan, Palestine, Poland, Portugal, Primorye, Qinghai, Romania, Sakhalin, Sardegna, Sicilia, Sinai, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Tibet, Transcaucasus, Turkey, Turkey-in-Europe, Turkmenistan, Tuva, Ukraine, Uzbekistan, WestHimalaya, WestSiberia, Xinjiang, Yugoslavia"
Tripleurospermum inodorum,"Albania, Altay, Austria, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CanaryIs., CentralEuropeanRus, Chita, Cyprus, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, Ireland, Irkutsk, Italy, Kazakhstan, Kirgizstan, Krasnoyarsk, Krym, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Portugal, Romania, Sardegna, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Transcaucasus, Turkey, Turkey-in-Europe, Tuva, Ukraine, Uzbekistan, WestSiberia, Xinjiang, Yugoslavia"
Plantago coronopus,"Afghanistan, Albania, Algeria, Azores, Baleares, Belgium, Bulgaria, CanaryIs., Corse, Denmark, EastAegeanIs., Egypt, Eritrea, Finland, France, Germany, GreatBritain, Greece, Iran, Iraq, Ireland, Italy, Kriti, Krym, Kuwait, Lebanon-Syria, Libya, Madeira, Morocco, Netherlands, NorthCaucasus, Pakistan, Poland, Portugal, Romania, Sardegna, SaudiArabia, Selvagens, Sicilia, Spain, Sweden, Tadzhikistan, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Uzbekistan, WesternSahara, Yugoslavia"
Symphytum officinale,"Altay, Austria, Belarus, Belgium, Bulgaria, CentralEuropeanRus, Czechoslovakia, EastEuropeanRussia, France, Germany, GreatBritain, Hungary, Italy, Kazakhstan, Krym, Netherlands, NorthCaucasus, NorthwestEuropeanR, Poland, Romania, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Switzerland, Turkey, Turkey-in-Europe, Ukraine, WestSiberia, Yugoslavia"
Anthoxanthum odoratum,"Albania, Algeria, Austria, Azores, Baleares, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CanaryIs., CentralEuropeanRus, Corse, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, Finland, France, Føroyar, Germany, GreatBritain, Greece, Hungary, Iceland, Ireland, Italy, Kazakhstan, Kirgizstan, Kriti, Krym, Lebanon-Syria, Madeira, Mongolia, Morocco, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Portugal, Romania, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Ukraine, WestSiberia, Yugoslavia"
Alopecurus myosuroides,"Afghanistan, Albania, Algeria, Assam, Belgium, Bulgaria, Corse, Cyprus, EastAegeanIs., Egypt, France, GreatBritain, Greece, Iran, Iraq, Italy, Kazakhstan, Kirgizstan, Kriti, Krym, Lebanon-Syria, Libya, Netherlands, NorthCaucasus, Pakistan, Palestine, Portugal, Romania, SaudiArabia, Sicilia, SouthEuropeanRussi, Spain, Tadzhikistan, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Uzbekistan, WestHimalaya, Yugoslavia"
Clematis vitalba,"Afghanistan, Albania, Algeria, Austria, Belgium, Bulgaria, Corse, Czechoslovakia, France, Germany, GreatBritain, Greece, Hungary, Iran, Italy, Kriti, Krym, Laos, Lebanon-Syria, Morocco, Netherlands, NorthCaucasus, Portugal, Romania, Sardegna, Sicilia, Spain, Switzerland, Transcaucasus, Turkey, Turkey-in-Europe, Ukraine, Yugoslavia"
Myosotis scorpioides,"Afghanistan, Altay, Austria, BalticStates, Belarus, Belgium, Buryatiya, CentralEuropeanRus, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Føroyar, Germany, GreatBritain, Hungary, Iceland, Iran, Iraq, Ireland, Irkutsk, Italy, Kazakhstan, Kirgizstan, Krasnoyarsk, Krym, Mongolia, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Pakistan, Poland, Romania, Sardegna, SouthEuropeanRussi, Spain, Sweden, Switzerland, Transcaucasus, Tuva, Ukraine, WestHimalaya, WestSiberia, Yakutskiya, Yugoslavia"
Crataegus monogyna,"Albania, Algeria, Austria, Baleares, BalticStates, Belarus, Belgium, Bulgaria, CentralEuropeanRus, Corse, Cyprus, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, Iraq, Ireland, Italy, Kriti, Krym, Lebanon-Syria, Libya, Morocco, Netherlands, NorthCaucasus, Norway, Palestine, Poland, Portugal, Romania, Sardegna, Sicilia, Sinai, Spain, Sweden, Switzerland, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Ukraine, Yugoslavia"
Tanacetum vulgare,"Albania, Altay, Amur, Austria, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CentralEuropeanRus, Chita, Corse, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, InnerMongolia, Irkutsk, Italy, Japan, Kamchatka, Kazakhstan, Khabarovsk, Kirgizstan, Korea, Krasnoyarsk, Krym, KurilIs., Magadan, Manchuria, Mongolia, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Portugal, Primorye, Romania, Sakhalin, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Transcaucasus, Turkey, Turkey-in-Europe, Tuva, Ukraine, WestSiberia, Xinjiang, Yakutskiya, Yugoslavia"
Pinus pinaster,"Algeria, Baleares, Corse, France, Italy, Morocco, Portugal, Sardegna, Sicilia, Spain, Tunisia"
Ulex europaeus,"Belgium, Corse, France, Germany, GreatBritain, Ireland, Italy, Madeira, Netherlands, Portugal, Spain, Switzerland"
Miconia calvescens,"ArgentinaNortheast, ArgentinaNorthwest, Belize, Bolivia, BrazilNorth, BrazilNortheast, BrazilSouth, BrazilSoutheast, BrazilWest-Central, Colombia, CostaRica, Ecuador, Guatemala, Honduras, MexicoGulf, MexicoSoutheast, MexicoSouthwest, Nicaragua, Panamá, Paraguay, Peru"
Geranium robertianum,"Albania, Algeria, Altay, Austria, Azores, BalticStates, Belarus, Belgium, BritishColumbia, Bulgaria, California, CanaryIs., CentralEuropeanRus, ChinaSouth-Central, ChinaSoutheast, Connecticut, Corse, Cyprus, Czechoslovakia, Delaware, Denmark, EastEuropeanRussia, EastHimalaya, Ethiopia, Finland, France, Germany, GreatBritain, Greece, Hungary, Indiana, Iran, Ireland, Italy, Kazakhstan, Kirgizstan, Kriti, Krym, Lebanon-Syria, Libya, Madeira, Maine, Manitoba, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Montana, Morocco, Nepal, Netherlands, NewBrunswick, NewHampshire, NewJersey, Newfoundland, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, NovaScotia, Ohio, Ontario, Oregon, Pakistan, Pennsylvania, Poland, Portugal, PrinceEdwardI., Québec, RhodeI., Romania, Sardegna, SaudiArabia, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Tibet, Transcaucasus, Tunisia, Turkey-in-Europe, Turkmenistan, Ukraine, Uzbekistan, Vermont, Virginia, Washington, WestSiberia, WestVirginia, Wisconsin, Yemen, Yugoslavia"
Jacobaea vulgaris,"Albania, Altay, Austria, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CentralEuropeanRus, ChinaSoutheast, Chita, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, Ireland, Irkutsk, Italy, Kazakhstan, Kirgizstan, Krasnoyarsk, Krym, Mongolia, Morocco, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Portugal, Romania, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Transcaucasus, Turkey, Tuva, Ukraine, Uzbekistan, WestSiberia, Xinjiang, Yakutskiya, Yugoslavia"
Calystegia sepium spp. sepium,"Afghanistan, Albania, Algeria, Altay, Austria, Azores, Baleares, BalticStates, Belarus, Belgium, Bulgaria, CentralEuropeanRus, Corse, Cyprus, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, Iran, Ireland, Italy, Kazakhstan, Kirgizstan, Krasnoyarsk, Kriti, Krym, Lebanon-Syria, Madeira, Morocco, Netherlands, NorthCaucasus, NorthwestEuropeanR, Norway, Palestine, Poland, Portugal, Romania, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Ukraine, Uzbekistan, WestSiberia, Xinjiang, Yugoslavia"
Sonchus arvensis,"Albania, Altay, Amur, Austria, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CentralEuropeanRus, Chita, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, Finland, France, Føroyar, Germany, GreatBritain, Greece, Hungary, Ireland, Irkutsk, Italy, Kamchatka, Kazakhstan, Khabarovsk, Kirgizstan, Krasnoyarsk, Krym, KurilIs., Magadan, Mongolia, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Oman, Poland, Primorye, Romania, Sakhalin, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Transcaucasus, Turkey, Turkey-in-Europe, Tuva, Ukraine, Uzbekistan, WestSiberia, Yakutskiya, Yugoslavia"
Bromus hordeaceus,"Albania, Algeria, Altay, Austria, Azores, Baleares, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CanaryIs., CentralEuropeanRus, ChinaNorth-Central, Chita, Corse, Cyprus, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, EastHimalaya, Egypt, Finland, France, Germany, GreatBritain, Greece, Hungary, Ireland, Irkutsk, Italy, Kazakhstan, Kirgizstan, Krasnoyarsk, Kriti, Krym, Lebanon-Syria, Libya, Madeira, Morocco, Netherlands, NorthCaucasus, NorthwestEuropeanR, Norway, Pakistan, Poland, Portugal, Primorye, Qinghai, Romania, Sakhalin, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Tuva, Ukraine, Uzbekistan, WestHimalaya, WestSiberia, Xinjiang, Yakutskiya, Yugoslavia"
Acer platanoides,"Afghanistan, Albania, Austria, BalticStates, Belarus, Belgium, Bulgaria, CentralEuropeanRus, Czechoslovakia, EastEuropeanRussia, Finland, France, Germany, Greece, Hungary, Iran, Italy, Kirgizstan, Krym, NorthCaucasus, Norway, Pakistan, Poland, Romania, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Transcaucasus, Turkey, Turkey-in-Europe, Ukraine, Uzbekistan, Yugoslavia"
Vicia cracca,"Afghanistan, Albania, Altay, Amur, Austria, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CentralEuropeanRus, ChinaNorth-Central, ChinaSouth-Central, ChinaSoutheast, Chita, Corse, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, Finland, France, Føroyar, Germany, GreatBritain, Greece, Hungary, Iceland, InnerMongolia, Iran, Ireland, Irkutsk, Italy, Japan, Kamchatka, Kazakhstan, Khabarovsk, Kirgizstan, Korea, Krasnoyarsk, Krym, KurilIs., Lebanon-Syria, Magadan, Manchuria, Mongolia, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Pakistan, Poland, Primorye, Romania, Sakhalin, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Taiwan, Tibet, Turkey, Turkey-in-Europe, Tuva, Ukraine, WestSiberia, Xinjiang, Yakutskiya, Yugoslavia"
