Species,nat_loc
Bolboschoenus maritimus,"Afghanistan, Alaska, Albania, Alberta, Altay, Amur, ArgentinaNortheast, ArgentinaNorthwest, ArgentinaSouth, Arizona, Assam, Austria, Azores, Baleares, BalticStates, Bangladesh, Belarus, Belgium, BrazilSouth, BritishColumbia, Bulgaria, California, Cambodia, CapeProvinces, CapeVerde, CentralEuropeanRus, Chad, ChileCentral, ChinaNorth-Central, Chita, Colombia, Colorado, Connecticut, Corse, Cuba, Cyprus, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, GulfStates, Hawaii, Hungary, Idaho, Illinois, India, InnerMongolia, Iowa, Iran, Ireland, Italy, Kansas, Kazakhstan, Khabarovsk, Kirgizstan, Korea, Kriti, Krym, Kuwait, Laos, Louisiana, Madeira, Maine, Manitoba, Massachusetts, MexicoCentral, MexicoNorthwest, MexicoSouthwest, Michigan, Minnesota, Missouri, Mongolia, Montana, Nansei-shoto, Nebraska, Netherlands, Nevada, NewBrunswick, NewHampshire, NewJersey, NewMexico, NewYork, NorthCaucasus, NorthDakota, NorthEuropeanRussi, NorthwestEuropeanR, NorthwestTerritorie, Norway, NovaScotia, Ohio, Oklahoma, Oman, Ontario, Oregon, Pakistan, Peru, Poland, Portugal, Primorye, PrinceEdwardI., Qinghai, Québec, RhodeI., Romania, Sardegna, Saskatchewan, SaudiArabia, Sicilia, SouthDakota, SouthEuropeanRussi, Spain, Sudan, Suriname, Sweden, Switzerland, Taiwan, Texas, Thailand, Tibet, Transcaucasus, Turkey, Turkey-in-Europe, Turkmenistan, Ukraine, Utah, Uzbekistan, Vietnam, Virginia, Washington, WestSiberia, Wyoming, Xinjiang, Yugoslavia"
Alnus glutinosa,"Albania, Algeria, Austria, BalticStates, Belarus, Belgium, Bulgaria, CentralEuropeanRus, Corse, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, Iran, Ireland, Italy, Kazakhstan, Krym, Libya, Morocco, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Romania, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Ukraine, WestSiberia, Yugoslavia"
Lamium galeobdolon,"Albania, Austria, BalticStates, Belarus, Belgium, Bulgaria, CentralEuropeanRus, Czechoslovakia, Denmark, EastEuropeanRussia, France, Germany, GreatBritain, Greece, Hungary, Iran, Ireland, Netherlands, NorthEuropeanRussi, NorthwestEuropeanR, Poland, Romania, SouthEuropeanRussi, Spain, Sweden, Switzerland, Transcaucasus, Turkey, Turkey-in-Europe, Ukraine, WestSiberia, Yugoslavia"
Brachypodium sylvaticum,"Albania, Algeria, Altay, Assam, Austria, Azores, Baleares, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CanaryIs., CapeVerde, CentralEuropeanRus, ChinaNorth-Central, ChinaSouth-Central, ChinaSoutheast, Corse, Cyprus, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, EastHimalaya, Eritrea, Finland, France, Germany, GreatBritain, Greece, GulfofGuineaIs., Hungary, India, Iran, Iraq, Ireland, Italy, Japan, Jawa, Kazakhstan, Kirgizstan, Korea, Krasnoyarsk, Kriti, Krym, KurilIs., Lebanon-Syria, LesserSundaIs., Madeira, Maluku, Manchuria, Morocco, Nepal, Netherlands, NewGuinea, NorthCaucasus, NorthwestEuropeanR, Norway, Pakistan, Palestine, Philippines, Poland, Portugal, Qinghai, Romania, Sakhalin, Sardegna, SaudiArabia, Sicilia, SouthEuropeanRussi, Spain, SriLanka, Sudan, Sulawesi, Sumatera, Sweden, Switzerland, Tadzhikistan, Taiwan, Tibet, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Ukraine, Uzbekistan, WestHimalaya, WestSiberia, Xinjiang, Yugoslavia"
Poa compressa,"Albania, Algeria, Austria, BalticStates, Belarus, Belgium, Bulgaria, CentralEuropeanRus, ChinaNorth-Central, ChinaSouth-Central, ChinaSoutheast, Corse, Cyprus, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Germany, Greece, Hungary, Iran, Italy, Kazakhstan, Krym, Lebanon-Syria, Morocco, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Qinghai, Romania, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Transcaucasus, Turkey, Turkey-in-Europe, Ukraine, Xinjiang, Yugoslavia"
Arrhenatherum elatius,"Albania, Algeria, Austria, Azores, Baleares, BalticStates, Belarus, Belgium, Bulgaria, CanaryIs., CentralEuropeanRus, Corse, Cyprus, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Føroyar, Germany, GreatBritain, Greece, Hungary, Iceland, Iran, Iraq, Ireland, Italy, Kazakhstan, Kirgizstan, Krym, Lebanon-Syria, Madeira, Morocco, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Palestine, Poland, Portugal, Romania, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Transcaucasus, Turkey, Turkey-in-Europe, Turkmenistan, Ukraine, Yugoslavia"
Deschampsia cespitosa,"Afghanistan, Alaska, Albania, Alberta, AleutianIs., Altay, Amur, AntipodeanIs., Arizona, Austria, BalticStates, Belarus, Belgium, BritishColumbia, Bulgaria, Buryatiya, California, Cameroon, CentralEuropeanRus, ChathamIs., ChinaNorth-Central, ChinaSouth-Central, Chita, Colorado, Congo, Connecticut, Czechoslovakia, Denmark, EastEuropeanRussia, EastHimalaya, Ethiopia, Finland, France, Føroyar, Germany, GreatBritain, Greece, Greenland, GulfofGuineaIs., Hungary, Iceland, Idaho, Illinois, Indiana, InnerMongolia, Iran, Ireland, Irkutsk, Italy, Japan, Kamchatka, Kazakhstan, Kentucky, Kenya, Khabarovsk, Kirgizstan, Korea, Krasnoyarsk, Krym, KurilIs., Labrador, MacquarieIs., Magadan, Maine, Manchuria, Manitoba, Maryland, Massachusetts, MexicoNortheast, Michigan, Minnesota, Mongolia, Montana, Nepal, Netherlands, Nevada, NewBrunswick, NewHampshire, NewJersey, NewMexico, NewSouthWales, NewYork, NewZealandNorth, NewZealandSouth, Newfoundland, NorthCarolina, NorthCaucasus, NorthDakota, NorthEuropeanRussi, NorthwestEuropeanR, NorthwestTerritorie, Norway, NovaScotia, Nunavut, Ohio, Ontario, Oregon, Pakistan, Pennsylvania, Poland, Portugal, Primorye, PrinceEdwardI., Qinghai, Québec, RhodeI., Romania, Rwanda, Sakhalin, Saskatchewan, Sicilia, SouthDakota, SouthEuropeanRussi, Spain, Svalbard, Sweden, Switzerland, Tadzhikistan, Taiwan, Tanzania, Tasmania, Tibet, Transcaucasus, Turkey, Turkey-in-Europe, Tuva, Uganda, Ukraine, Utah, Uzbekistan, Vermont, Victoria, Virginia, Washington, WestHimalaya, WestSiberia, WestVirginia, Wisconsin, Wyoming, Xinjiang, Yakutskiya, Yugoslavia, Yukon, Zaïre"
Elymus repens,"Afghanistan, Albania, Algeria, Altay, Amur, Austria, Baleares, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CentralEuropeanRus, ChinaNorth-Central, ChinaSouth-Central, Chita, Corse, Cyprus, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, EastHimalaya, Finland, France, Føroyar, Germany, GreatBritain, Greece, Hungary, Iceland, InnerMongolia, Iran, Iraq, Ireland, Irkutsk, Italy, Kamchatka, Kazakhstan, Khabarovsk, Kirgizstan, Korea, Krasnoyarsk, Krym, KurilIs., Lebanon-Syria, Libya, Magadan, Manchuria, Mongolia, Morocco, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Pakistan, Poland, Portugal, Primorye, Qinghai, Romania, Sakhalin, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Tibet, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Tuva, Ukraine, Uzbekistan, WestHimalaya, WestSiberia, Xinjiang, Yakutskiya, Yugoslavia"
Impatiens glandulifera,"Pakistan, WestHimalaya"
Poa trivialis,"Afghanistan, Albania, Algeria, Altay, Austria, Azores, Baleares, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CanaryIs., CentralEuropeanRus, ChinaNorth-Central, ChinaSouth-Central, ChinaSoutheast, Corse, Cyprus, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, EastHimalaya, Finland, France, Føroyar, Germany, GreatBritain, Greece, Hungary, Iceland, InnerMongolia, Iran, Iraq, Ireland, Italy, Kamchatka, Kazakhstan, Khabarovsk, Kirgizstan, Korea, Krasnoyarsk, Kriti, Krym, KurilIs., Lebanon-Syria, Libya, Madeira, Magadan, Mongolia, Morocco, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Pakistan, Palestine, Poland, Portugal, Primorye, Romania, Sakhalin, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Tuva, Ukraine, Uzbekistan, WestHimalaya, WestSiberia, Xinjiang, Yugoslavia"
Acer pseudoplatanus,"Albania, Austria, Bulgaria, Corse, Czechoslovakia, France, Germany, Greece, Hungary, Italy, Krym, NorthCaucasus, Poland, Portugal, Romania, Sicilia, Spain, Switzerland, Turkey-in-Europe, Ukraine, Yugoslavia"
Papaver dubium,"Afghanistan, Albania, Algeria, Austria, Baleares, BalticStates, Belarus, Belgium, Bulgaria, CanaryIs., Corse, Czechoslovakia, Denmark, Djibouti, EastAegeanIs., Egypt, France, Germany, GreatBritain, Greece, GulfStates, Hungary, Iran, Iraq, Ireland, Italy, Kriti, Krym, Lebanon-Syria, Libya, Madeira, Morocco, Netherlands, NorthCaucasus, NorthwestEuropeanR, Pakistan, Poland, Portugal, Romania, Sardegna, SaudiArabia, Sicilia, Sinai, SouthEuropeanRussi, Spain, Sweden, Switzerland, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Ukraine, WestHimalaya, Yemen, Yugoslavia"
Draba verna,"Afghanistan, Albania, Algeria, Austria, Baleares, BalticStates, Belarus, Belgium, Bulgaria, CentralEuropeanRus, Corse, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, Ethiopia, Finland, France, Germany, GreatBritain, Greece, Hungary, Iceland, Iran, Iraq, Ireland, Italy, Kazakhstan, Kirgizstan, Kriti, Krym, Lebanon-Syria, Morocco, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Oman, Pakistan, Palestine, Poland, Portugal, Romania, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Ukraine, Uzbekistan, WestHimalaya, Yugoslavia"
Pilosella officinarum,"Albania, Austria, BalticStates, Belarus, Belgium, Bulgaria, CentralEuropeanRus, Corse, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, Iran, Ireland, Italy, Kazakhstan, Krym, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Portugal, Romania, Spain, Sweden, Switzerland, Transcaucasus, Turkey, Ukraine, Yugoslavia"
Helminthotheca echioides,"Albania, Algeria, Azores, Baleares, BalticStates, Belarus, Bulgaria, CanaryIs., CapeVerde, Corse, Cyprus, Czechoslovakia, EastAegeanIs., Egypt, France, Greece, Iran, Iraq, Italy, Kriti, Krym, Lebanon-Syria, Libya, Madeira, Morocco, NorthCaucasus, Palestine, Portugal, Sardegna, Sicilia, Spain, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Ukraine, Yugoslavia"
Frangula alnus,"Albania, Algeria, Altay, Austria, BalticStates, Belarus, Belgium, Bulgaria, CentralEuropeanRus, Corse, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, Iran, Iraq, Ireland, Italy, Kazakhstan, Krasnoyarsk, Krym, Morocco, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Portugal, Romania, SouthEuropeanRussi, Spain, Sweden, Switzerland, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Tuva, Ukraine, WestSiberia, Xinjiang, Yugoslavia"
Spergularia rubra,"Afghanistan, Albania, Algeria, Amur, Austria, Baleares, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CanaryIs., CentralEuropeanRus, Corse, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, Egypt, Eritrea, Ethiopia, Finland, France, Germany, GreatBritain, Greece, Hungary, Ireland, Irkutsk, Italy, Kamchatka, Kazakhstan, Khabarovsk, Krasnoyarsk, Kriti, KurilIs., Libya, Madeira, Magadan, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Palestine, Poland, Primorye, Romania, Sakhalin, Sardegna, Sicilia, Sinai, SouthEuropeanRussi, Spain, Sudan, Sweden, Switzerland, Transcaucasus, Turkey, Turkey-in-Europe, Ukraine, WestSiberia, Xinjiang, Yakutskiya, Yemen, Yugoslavia"
Eucalyptus globulus,"NewSouthWales, Tasmania, Victoria"
Juncus articulatus,"Afghanistan, Alaska, Albania, Algeria, Altay, Amur, Arizona, Austria, Azores, Baleares, BalticStates, Belarus, Belgium, BritishColumbia, Bulgaria, Buryatiya, CanaryIs., CentralEuropeanRus, ChinaNorth-Central, ChinaSouth-Central, ChinaSoutheast, Chita, Colorado, Connecticut, Corse, Cyprus, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, EastHimalaya, Finland, France, Føroyar, Germany, GreatBritain, Greece, Hungary, Iceland, Idaho, Illinois, India, Indiana, InnerMongolia, Iran, Iraq, Ireland, Irkutsk, Italy, Japan, Kamchatka, Kazakhstan, Kentucky, Khabarovsk, Kirgizstan, Korea, Krasnoyarsk, Kriti, Krym, KurilIs., Labrador, Lebanon-Syria, Libya, Madeira, Maine, Manchuria, Massachusetts, MexicoNortheast, MexicoNorthwest, Michigan, Minnesota, Mongolia, Morocco, Nebraska, Nepal, Netherlands, Nevada, NewBrunswick, NewHampshire, NewJersey, NewMexico, NewYork, Newfoundland, NorthCarolina, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Ohio, Ontario, Oregon, Pakistan, Palestine, Pennsylvania, Poland, Portugal, Primorye, PrinceEdwardI., Qinghai, Québec, RhodeI., Romania, Sakhalin, Sardegna, Sicilia, SouthDakota, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Tibet, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Tuva, Ukraine, Utah, Uzbekistan, Vermont, Vietnam, Virginia, Washington, WestHimalaya, WestSiberia, WestVirginia, Xinjiang, Yakutskiya, Yugoslavia"
Salix cinerea,"Albania, Altay, Austria, BalticStates, Belgium, Bulgaria, CentralEuropeanRus, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, Ireland, Italy, Kazakhstan, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Romania, SouthEuropeanRussi, Spain, Sweden, Transcaucasus, Turkey, Ukraine, Yugoslavia"
Alopecurus pratensis,"Afghanistan, Albania, Altay, Austria, Azores, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CentralEuropeanRus, Chita, Corse, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, InnerMongolia, Iran, Ireland, Irkutsk, Italy, Kazakhstan, Kirgizstan, Krasnoyarsk, Krym, Manchuria, Mongolia, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Romania, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Turkey-in-Europe, Turkmenistan, Tuva, Ukraine, Uzbekistan, WestHimalaya, WestSiberia, Xinjiang, Yakutskiya, Yugoslavia"
Lupinus polyphyllus,"Alberta, BritishColumbia, California, Connecticut, Idaho, Maine, Massachusetts, Minnesota, Montana, Nevada, NewYork, Ontario, Oregon, Québec, Vermont, Washington, Wisconsin"
Silene vulgaris,"Afghanistan, Albania, Algeria, Altay, Amur, Austria, Baleares, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CanaryIs., CentralEuropeanRus, Chita, Corse, Cyprus, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, Egypt, Finland, France, Germany, GreatBritain, Greece, Hungary, InnerMongolia, Iran, Ireland, Irkutsk, Italy, Kamchatka, Kazakhstan, Khabarovsk, Kirgizstan, Krasnoyarsk, Kriti, Krym, KurilIs., Lebanon-Syria, Libya, Madeira, Magadan, Manchuria, Mongolia, Morocco, Nepal, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Oman, Pakistan, Palestine, Poland, Portugal, Primorye, Romania, Sakhalin, Sardegna, SaudiArabia, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Tibet, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Tuva, Ukraine, Uzbekistan, WestHimalaya, WestSiberia, Xinjiang, Yakutskiya, Yugoslavia"
Rhamnus cathartica,"Albania, Algeria, Altay, Austria, BalticStates, Belarus, Belgium, Bulgaria, CentralEuropeanRus, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, Iran, Ireland, Italy, Kazakhstan, Kirgizstan, Krym, Morocco, Netherlands, NorthCaucasus, NorthEuropeanRussi, Norway, Poland, Portugal, Romania, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Transcaucasus, Turkey, Ukraine, Uzbekistan, WestSiberia, Xinjiang, Yugoslavia"
Achillea ptarmica,"Austria, BalticStates, Belarus, Belgium, CentralEuropeanRus, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Føroyar, Germany, GreatBritain, Hungary, Ireland, Italy, Japan, Kamchatka, KurilIs., Netherlands, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Romania, Sakhalin, Spain, Sweden, Switzerland, Ukraine, Yugoslavia"
Myosotis arvensis,"Albania, Algeria, Altay, Austria, Baleares, BalticStates, Belarus, Belgium, Bulgaria, CentralEuropeanRus, Corse, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, Finland, France, Føroyar, Germany, GreatBritain, Greece, Hungary, Iceland, Ireland, Irkutsk, Italy, Kazakhstan, Krasnoyarsk, Krym, Madeira, Morocco, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Pakistan, Poland, Portugal, Romania, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Ukraine, WestHimalaya, WestSiberia, Yakutskiya, Yugoslavia"
Rumex acetosa,"Afghanistan, Albania, Altay, Amur, Austria, Baleares, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CentralEuropeanRus, ChinaNorth-Central, ChinaSouth-Central, ChinaSoutheast, Chita, Corse, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Føroyar, Germany, GreatBritain, Hungary, Iceland, InnerMongolia, Iran, Ireland, Irkutsk, Italy, Japan, Kazakhstan, Khabarovsk, Kirgizstan, Korea, Krasnoyarsk, Krym, Manchuria, Mongolia, Morocco, Nepal, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Pakistan, Poland, Portugal, Primorye, Qinghai, Romania, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Taiwan, Tibet, Transcaucasus, Turkey-in-Europe, Tuva, Ukraine, Uzbekistan, WestHimalaya, WestSiberia, Xinjiang, Yugoslavia"
Glyceria maxima,"Austria, BalticStates, Belarus, Belgium, Bulgaria, CentralEuropeanRus, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, Ireland, Italy, Kazakhstan, Netherlands, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Romania, Sardegna, Sicilia, SouthEuropeanRussi, Sweden, Switzerland, Transcaucasus, Turkey-in-Europe, Ukraine, WestSiberia, Xinjiang, Yugoslavia"
Carduus crispus,"Altay, Amur, Austria, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CentralEuropeanRus, Chita, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Germany, GreatBritain, Hungary, Ireland, Irkutsk, Italy, Kazakhstan, Khabarovsk, Kirgizstan, Krasnoyarsk, Krym, Mongolia, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Primorye, Romania, SouthEuropeanRussi, Spain, Sweden, Switzerland, Transcaucasus, Tuva, Ukraine, WestSiberia, Yakutskiya, Yugoslavia"
